idArtist,gender,birthday,genre,death,hometown
1,M,8/29/1958,Pop,6/25/2009,"Gary, Indiana"
2,F,3/27/1970,Pop,alive,"Huntington, New York"
3,F,8/16/1958,Pop,alive,"Bay City, Michigan"
4,M,9/14/1973,Rap,alive,"Crown Heights, New York"
5,M,5/21/1972,Rap,3/9/1997,"Brooklyn, New York"
6,M,6/16/1971,Rap,9/7/1996,"East Harlem, New York"
7,M,2/7/1962,Country,alive,"Tulsa, Oklahoma"
8,F,4/23/1965,Country,alive,"Ontario, Canada"
9,M,10/28/1952,Country,alive,"Pearsall, Texas"
10,M,2/20/1967,Rock,4/5/1994,"Aberdeen, Washington"
11,M,8/22/1967,Rock,4/5/2002,"Bellevue, Washington"
12,M,7/20/1964,Rock,5/18/2017,"Seattle, Washington"
13,F,1/16/1979,R&B,8/25/2001,"Brooklyn, New York"
14,F,4/26/1970,R&B,alive,"Des Moines, Iowa"
15,F,6/13/1970,R&B,alive,"Brooklyn, New York"
